Position,Classification_Code,Starting step,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Video Producer,3176,8,7327,8177,9143,850,1816,19571,87924,109716
Vocational Rehabilitation Counselor,6647,8,6350,7097,7923,747,1573,17162,76200,95076
Vocational Rehabilitation Counselor Entry,6646,8,5019,5598,6245,579,1226,13879,60228,74940
Vocational Rehabilitation Specialist,6648,8,6664,7436,8314,772,1650,17936,79968,99768
Water Resource Data Technician 1,8510,8,4776,5345,5964,569,1188,13280,57312,71568
Water Resource Data Technician 2,8511,8,5256,5861,6549,605,1293,14464,63072,78588
Wildland Fire Dispatcher,8364,8,3964,4425,4943,461,979,11277,47568,59316
Wildland Fire Dispatcher Entry,8363,8,3335,3709,4118,374,783,9726,40020,49416
Wildland Fire Suppression Specialist,8355,8,4356,4851,5420,495,1064,12244,52272,65040
Wildland Fire Suppression Specialist Entry,8354,8,3629,4036,4498,407,869,10451,43548,53976
Word Processing Technician 2,531,8,3790,4222,4715,432,925,10848,45480,56580
Word Processing Technician 3,533,8,4155,4639,5169,484,1014,11748,49860,62028
Youth Corrections Unit Coordinator,6755,8,5771,6444,7206,673,1435,15734,69252,86472
Accountant 1,1316,9,6051,6763,7206,712,1155,16424,72612,86472
Accountant 2,1317,9,7327,8177,8713,850,1386,19571,87924,104556
Accountant 3,1318,9,8450,9447,10065,997,1615,22341,101400,120780
Accounting Technician,313,9,5019,5598,5964,579,945,13879,60228,71568
Activities Coordinator,6530,9,5019,5598,5964,579,945,13879,60228,71568
Administrative Law Judge 1,1510,9,8450,9447,10065,997,1615,22341,101400,120780
Administrative Law Judge 2,1511,9,9751,10908,11622,1157,1871,25550,117012,139464
Administrative Law Judge 3,1513,9,11825,13215,14080,1390,2255,30665,141900,168960
Administrative Specialist 1,107,9,4555,5086,5420,531,865,12735,54660,65040
Administrative Specialist 2,108,9,5256,5861,6245,605,989,14464,63072,74940
Adult Protective Service Specialist,6616,9,6664,7436,7923,772,1259,17936,79968,95076
Aerial Photographer,3540,9,6350,7097,7562,747,1212,17162,76200,90744
Aircraft Pilot,8333,9,7327,8177,8713,850,1386,19571,87924,104556
Appraiser Analyst 1,735,9,4776,5345,5695,569,919,13280,57312,68340
Appraiser Analyst 2,736,9,6664,7436,7923,772,1259,17936,79968,95076
Appraiser Analyst 3,737,9,7678,8581,9143,903,1465,20437,92136,109716
Appraiser Analyst 4,738,9,8870,9897,10545,1027,1675,23377,106440,126540
Apprenticeship Representative,4380,9,6051,6763,7206,712,1155,16424,72612,86472
Automotive Fleet Attendant,4417,9,3964,4425,4715,461,751,11277,47568,56580
Automotive Technician 1,4418,9,5019,5598,5964,579,945,13879,60228,71568
Automotive Technician 2,4419,9,6051,6763,7206,712,1155,16424,72612,86472
Behavioral Health Specialist 1,6531,9,6350,7097,7562,747,1212,17162,76200,90744
Behavioral Health Specialist 2,6534,9,7327,8177,8713,850,1386,19571,87924,104556
Behavioral Health Specialist 3,6535,9,8057,8999,9589,942,1532,21372,96684,115068
Biological Science Assistant,3769,9,3629,4036,4301,407,672,10451,43548,51612
Business & Employment Specialist 2,6699,9,5503,6146,6549,643,1046,15073,66036,78588
Carpenter,4003,9,5771,6444,6866,673,1095,15734,69252,82392
Certified Occupation Therapist Assistant,6506,9,5256,5861,6245,605,989,14464,63072,74940
Chaplain,6680,9,6350,7097,7562,747,1212,17162,76200,90744
Chemist 1,3715,9,6350,7097,7562,747,1212,17162,76200,90744
Chemist 2,3716,9,6982,7803,8314,821,1332,18721,83784,99768
Chemist 3,3717,9,8057,8999,9589,942,1532,21372,96684,115068
Child Nutrition Specialist,5950,9,7678,8581,9143,903,1465,20437,92136,109716
Child Support Case Manager,5139,9,5503,6146,6549,643,1046,15073,66036,78588
Child Support Case Manager Entry,5138,9,5019,5598,5964,579,945,13879,60228,71568
Child Support Specialist,5133,9,6051,6763,7206,712,1155,16424,72612,86472
Civil Engineering Specialist 1,3136,9,6664,7436,7923,772,1259,17936,79968,95076
Civil Rights Investigator 1,5340,9,5503,6146,6549,643,1046,15073,66036,78588
Civil Rights Investigator 2,5341,9,6982,7803,8314,821,1332,18721,83784,99768
Claims Representative 1,5307,9,5771,6444,6866,673,1095,15734,69252,82392
Claims Representative 2,5308,9,6350,7097,7562,747,1212,17162,76200,90744
Client Care Surveyor,6685,9,7678,8581,9143,903,1465,20437,92136,109716
Clinical Laboratory Scientist,6833,9,6350,7097,7562,747,1212,17162,76200,90744
Clinical Psychologist 1,6394,9,9751,10908,11622,1157,1871,25550,117012,139464
Clinical Psychologist 2,6395,9,10740,11999,12785,1259,2045,27989,128880,153420
Communicable Disease Analyst,5903,9,5771,6444,6866,673,1095,15734,69252,82392
Community Outreach Specialist,6614,9,6982,7803,8314,821,1332,18721,83784,99768
Compliance Specialist 1,5346,9,5503,6146,6549,643,1046,15073,66036,78588
Compliance Specialist 2,5347,9,6664,7436,7923,772,1259,17936,79968,95076
Compliance Specialist 3,5348,9,8057,8999,9589,942,1532,21372,96684,115068
Construction Inspector,3365,9,7327,8177,8713,850,1386,19571,87924,104556
Construction Project Manager 1,3367,9,7327,8177,8713,850,1386,19571,87924,104556
Construction Project Manager 2,3368,9,8450,9447,10065,997,1615,22341,101400,120780
Construction Project Manager 3,3369,9,9751,10908,11622,1157,1871,25550,117012,139464
Cook,9117,9,4555,5086,5420,531,865,12735,54660,65040
Custodial Services Coordinator,4103,9,3790,4222,4498,432,708,10848,45480,53976
Custodian,4101,9,3335,3709,3952,374,617,9726,40020,47424
Data Entry Control Technician,1475,9,3629,4036,4301,407,672,10451,43548,51612
Data Entry Operator,501,9,3629,4036,4301,407,672,10451,43548,51612
Dental Assistant 2,6394,9,5256,5861,6245,605,989,14464,63072,74940
Dental Hygienist,6396,9,8057,8999,9589,942,1532,21372,96684,115068
Dietitian 2,6371,9,6982,7803,8314,821,1332,18721,83784,99768
Disability Analyst 1,5936,9,6051,6763,7206,712,1155,16424,72612,86472
Disability Analyst 2,5937,9,6664,7436,7923,772,1259,17936,79968,95076
District Veterinarian,6440,9,8057,8999,9589,942,1532,21372,96684,115068
DOJ Claims Examiner,5933,9,5771,6444,6866,673,1095,15734,69252,82392
Dormitory Counselor 1,6767,9,4356,4851,5169,495,813,12244,52272,62028
Dormitory Counselor 2,6768,9,5256,5861,6245,605,989,14464,63072,74940
Economist 1,1161,9,6051,6763,7206,712,1155,16424,72612,86472
Economist 2,1163,9,7327,8177,8713,850,1386,19571,87924,104556
Economist 3,1163,9,8450,9447,10065,997,1615,22341,101400,120780
Economist 4,1164,9,9751,10908,11622,1157,1871,25550,117012,139464
Education Program Specialist 1,3300,9,8450,9447,10065,997,1615,22341,101400,120780
Education Program Specialist 2,3301,9,9751,10908,11622,1157,1871,25550,117012,139464
Electrician 2,4008,9,6982,7803,8314,821,1332,18721,83784,99768
Electrician 3,4009,9,7678,8581,9143,903,1465,20437,92136,109716
Electronic Publishing Design Specialist 1,3510,9,4555,5086,5420,531,865,12735,54660,65040
Electronic Publishing Design Specialist 2,3511,9,5771,6444,6866,673,1095,15734,69252,82392
Electronic Publishing Design Specialist 3,3513,9,6350,7097,7562,747,1212,17162,76200,90744
Electronic Security Technician 2,4051,9,6982,7803,8314,821,1332,18721,83784,99768
Employment Adjudicator,6693,9,6051,6763,7206,712,1155,16424,72612,86472
Employment Appeals Board Legal Staff,1543,9,8057,8999,9589,942,1532,21372,96684,115068
Engineering Technician 2,3110,9,5019,5598,5964,579,945,13879,60228,71568
Engineering Technician 3,3111,9,5503,6146,6549,643,1046,15073,66036,78588
Environmental Engineer 2,3411,9,8450,9447,10065,997,1615,22341,101400,120780
Environmental Engineer 3,3413,9,9751,10908,11622,1157,1871,25550,117012,139464
Environmental Health Specialist 3,3819,9,7678,8581,9143,903,1465,20437,92136,109716
Epidemiologist 1,6316,9,7327,8177,8713,850,1386,19571,87924,104556
Epidemiologist 2,6317,9,8450,9447,10065,997,1615,22341,101400,120780
Epidemiologist 3,6318,9,9293,10385,11065,1092,1772,24420,111516,132780
Equipment Operator,4433,9,5503,6146,6549,643,1046,15073,66036,78588
Executive Assistant,830,9,6664,7436,7923,772,1259,17936,79968,95076
Executive Support Specialist 1,118,9,4555,5086,5420,531,865,12735,54660,65040
Executive Support Specialist 2,119,9,5256,5861,6245,605,989,14464,63072,74940
Facilities Engineer 1,3351,9,7327,8177,8713,850,1386,19571,87924,104556
Facilities Engineer 3,3353,9,9751,10908,11622,1157,1871,25550,117012,139464
Facility Energy Technician 2,4033,9,5771,6444,6866,673,1095,15734,69252,82392
Facility Energy Technician 3,4034,9,6982,7803,8314,821,1332,18721,83784,99768
Facility Energy Technician 4,4035,9,8057,8999,9589,942,1532,21372,96684,115068
Facility Maintenance Specialist,4013,9,4776,5345,5695,569,919,13280,57312,68340
Facility Operations Specialist 1,4014,9,6350,7097,7562,747,1212,17162,76200,90744
Facility Operations Specialist 2,4015,9,6982,7803,8314,821,1332,18721,83784,99768
Financial Enforcement Officer,1547,9,9293,10385,11065,1092,1772,24420,111516,132780
Financial Examiner 1,5675,9,6350,7097,7562,747,1212,17162,76200,90744
Financial Examiner 2,5676,9,7327,8177,8713,850,1386,19571,87924,104556
Financial Examiner 3,5677,9,8450,9447,10065,997,1615,22341,101400,120780
Financial Investigator 1,5335,9,6982,7803,8314,821,1332,18721,83784,99768
Fiscal Analyst 1,1343,9,6051,6763,7206,712,1155,16424,72612,86472
Fiscal Analyst 2,1344,9,7327,8177,8713,850,1386,19571,87924,104556
Fiscal Analyst 3,1345,9,8450,9447,10065,997,1615,22341,101400,120780
Fiscal Auditor 1,5641,9,6051,6763,7206,712,1155,16424,72612,86472
Fish and Wildlife Technical Coordinator,8346,9,5503,6146,6549,643,1046,15073,66036,78588
Fish and Wildlife Technician,8341,9,4555,5086,5420,531,865,12735,54660,65040
Fish and Wildlife Technician Entry,8340,9,3790,4222,4498,432,708,10848,45480,53976
Fish and Wildlife Technician Senior,8343,9,5019,5598,5964,579,945,13879,60228,71568
Food Service Worker,9103,9,3790,4222,4498,432,708,10848,45480,53976
Forest Crew Coordinator,8318,9,5019,5598,5964,579,945,13879,60228,71568
Forest Lookout,8353,9,3483,3865,4118,382,635,10091,41796,49416
Forest Management Technician,8311,9,4356,4851,5169,495,813,12244,52272,62028
Forest Officer,8357,9,6051,6763,7206,712,1155,16424,72612,86472
Geologist 2,3531,9,6982,7803,8314,821,1332,18721,83784,99768
Governmental Auditor 1,5646,9,6350,7097,7562,747,1212,17162,76200,90744
Governmental Auditor 2,5647,9,6982,7803,8314,821,1332,18721,83784,99768
Governmental Auditor 3,5648,9,8057,8999,9589,942,1532,21372,96684,115068
Grounds Maintenance Worker 1,4109,9,3964,4425,4715,461,751,11277,47568,56580
Grounds Maintenance Worker 2,4110,9,4555,5086,5420,531,865,12735,54660,65040
Group Life Coordinator 1,6750,9,4155,4639,4943,484,788,11748,49860,59316
Group Life Coordinator 2,6751,9,5019,5598,5964,579,945,13879,60228,71568
Hairdresser,9300,9,3964,4425,4715,461,751,11277,47568,56580
Health Care Investigator/Advisor,5911,9,6982,7803,8314,821,1332,18721,83784,99768
Health Information Specialist,15,9,4776,5345,5695,569,919,13280,57312,68340
Heavy Equipment Technician 1,4437,9,6261,6984,7442,723,1181,16942,75132,89304
Heavy Equipment Technician 2,4438,9,6982,7793,8303,811,1321,18721,83784,99636
Human Services Assistant 2,6606,9,4356,4851,5169,495,813,12244,52272,62028
Human Services Case Manager,6630,9,5503,6146,6549,643,1046,15073,66036,78588
Human Services Specialist 1,6657,9,4155,4639,4943,484,788,11748,49860,59316
Human Services Specialist 2,6658,9,4555,5086,5420,531,865,12735,54660,65040
Human Services Specialist 3,6659,9,5019,5598,5964,579,945,13879,60228,71568
Human Services Specialist 4,6660,9,5771,6444,6866,673,1095,15734,69252,82392
Incident Response Operations Specialist,4165,9,5256,5861,6245,605,989,14464,63072,74940
Industrial Hygienist 2,5706,9,7327,8177,8713,850,1386,19571,87924,104556
Industrial Hygienist 3,5707,9,8057,8999,9589,942,1532,21372,96684,115068
Industrial Hygienist 4,5708,9,8870,9897,10545,1027,1675,23377,106440,126540
Information Systems Specialist 2,1483,9,5503,6146,6549,643,1046,15073,66036,78588
Information Systems Specialist 3,1483,9,6350,7097,7562,747,1212,17162,76200,90744
Information Systems Specialist 4,1484,9,6664,7436,7923,772,1259,17936,79968,95076
Information Systems Specialist 5,1485,9,7678,8581,9143,903,1465,20437,92136,109716
Information Systems Specialist 6,1486,9,8057,8999,9589,942,1532,21372,96684,115068
Information Systems Specialist 7,1487,9,8057,8999,9589,942,1532,21372,96684,115068
Information Systems Specialist 8,1488,9,8870,9897,10545,1027,1675,23377,106440,126540
Institution Registered Nurse,6314,9,9789,10921,11636,1132,1847,25644,117468,139632
Insurance Examiner,5748,9,8450,9447,10065,997,1615,22341,101400,120780
Insurance Examiner Entry,5747,9,6982,7803,8314,821,1332,18721,83784,99768
Investigator 1,5331,9,5019,5598,5964,579,945,13879,60228,71568
Investigator 2,5333,9,6051,6763,7206,712,1155,16424,72612,86472
Investigator 3,5333,9,6982,7803,8314,821,1332,18721,83784,99768
Investment Analyst 1,1333,9,7327,8177,8713,850,1386,19571,87924,104556
Investment Analyst 2,1333,9,8450,9447,10065,997,1615,22341,101400,120780
Investment Analyst 3,1334,9,9751,10908,11622,1157,1871,25550,117012,139464
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,9,6350,7097,7562,747,1212,17162,76200,90744
Laboratory Technician 2,6811,9,4555,5086,5420,531,865,12735,54660,65040
Laborer/Student Worker,4116,9,3629,4036,4301,407,672,10451,43548,51612
Legal Secretary,110,9,4776,5345,5695,569,919,13280,57312,68340
Librarian,3330,9,6982,7803,8314,821,1332,18721,83784,99768
Licensed Practical Nurse,6135,9,6009,6707,7147,698,1138,16321,72108,85764
Livestock Brand Inspector,5430,9,4155,4639,4943,484,788,11748,49860,59316
Loan Specialist 1,1001,9,6051,6763,7206,712,1155,16424,72612,86472
Loan Specialist 2,1003,9,7327,8177,8713,850,1386,19571,87924,104556
Loan Specialist 3,1003,9,8450,9447,10065,997,1615,22341,101400,120780
Machinist,4018,9,6982,7803,8314,821,1332,18721,83784,99768
Mail Delivery Driver,4404,9,4155,4639,4943,484,788,11748,49860,59316
Mail Equipment Operator 1,403,9,3629,4036,4301,407,672,10451,43548,51612
Mail Equipment Operator 2,404,9,4155,4639,4943,484,788,11748,49860,59316
Mail Services Assistant,405,9,3790,4222,4498,432,708,10848,45480,53976
Manual Arts Instructor,3304,9,4555,5086,5420,531,865,12735,54660,65040
Medical Consultant,7538,9,13020,14550,15503,1530,2483,33613,156240,186036
Medical Laboratory Technician 1,6830,9,4776,5345,5695,569,919,13280,57312,68340
Medical Laboratory Technician 2,6831,9,5256,5861,6245,605,989,14464,63072,74940
Medical Review Coordinator,6310,9,9789,10921,11636,1132,1847,25644,117468,139632
Mental Health Security Technician,6708,9,4555,5086,5420,531,865,12735,54660,65040
Mental Health Therapist 1,6711,9,4555,5086,5420,531,865,12735,54660,65040
Mental Health Therapist 2,6713,9,5019,5598,5964,579,945,13879,60228,71568
Mental Health Therapy Coordinator,6718,9,5019,5598,5964,579,945,13879,60228,71568
Mental Health Therapy Technician,6710,9,4155,4639,4943,484,788,11748,49860,59316
Microbiologist 1,3779,9,6051,6763,7206,712,1155,16424,72612,86472
Microbiologist 2,3780,9,6664,7436,7923,772,1259,17936,79968,95076
Microbiologist 3,3781,9,7678,8581,9143,903,1465,20437,92136,109716
Motor Carrier Enforcement Officer 1,5857,9,5503,6146,6549,643,1046,15073,66036,78588
Motor Carrier Enforcement Officer 2,5858,9,6350,7097,7562,747,1212,17162,76200,90744
Natural Resource Specialist 1,8501,9,5503,6146,6549,643,1046,15073,66036,78588
Natural Resource Specialist 2,8503,9,6350,7097,7562,747,1212,17162,76200,90744
Natural Resource Specialist 3,8503,9,7327,8177,8713,850,1386,19571,87924,104556
Natural Resource Specialist 4,8504,9,8450,9447,10065,997,1615,22341,101400,120780
Natural Resource Specialist 5,8505,9,9293,10385,11065,1092,1772,24420,111516,132780
Nutrition Consultant,5955,9,8057,8999,9589,942,1532,21372,96684,115068
Occupational Safety Specialist 1,5709,9,5771,6444,6866,673,1095,15734,69252,82392
Occupational Safety Specialist 2,5710,9,7327,8177,8713,850,1386,19571,87924,104556
Occupational Safety Specialist 3,5711,9,8057,8999,9589,942,1532,21372,96684,115068
Occupational Therapist,6508,9,9293,10385,11065,1092,1772,24420,111516,132780
Office Assistant 1,101,9,3095,3427,3652,332,557,9134,37140,43824
Office Assistant 2,103,9,3335,3709,3952,374,617,9726,40020,47424
Office Coordinator,801,9,4155,4639,4943,484,788,11748,49860,59316
Office Specialist 1,103,9,3790,4222,4498,432,708,10848,45480,53976
Office Specialist 2,104,9,4155,4639,4943,484,788,11748,49860,59316
Operations & Policy Analyst 1,870,9,6051,6763,7206,712,1155,16424,72612,86472
Operations & Policy Analyst 2,871,9,7327,8177,8713,850,1386,19571,87924,104556
Operations & Policy Analyst 3,873,9,8450,9447,10065,997,1615,22341,101400,120780
Operations & Policy Analyst 4,873,9,9293,10385,11065,1092,1772,24420,111516,132780
Painter,4001,9,5771,6444,6866,673,1095,15734,69252,82392
Paralegal,1534,9,6982,7803,8314,821,1332,18721,83784,99768
Park Ranger 1,8434,9,4776,5332,5682,556,906,13280,57312,68184
Park Ranger 2,8435,9,5256,5861,6245,605,989,14464,63072,74940
Park Ranger 3,8436,9,5771,6444,6866,673,1095,15734,69252,82392
Park Ranger Assistant,8433,9,3629,4036,4301,407,672,10451,43548,51612
Park Specialist,8445,9,4555,5086,5420,531,865,12735,54660,65040
Parking Services Representative,5550,9,3964,4425,4715,461,751,11277,47568,56580
Parts Specialist 2,783,9,5256,5861,6245,605,989,14464,63072,74940
Payroll Analyst,314,9,5503,6146,6549,643,1046,15073,66036,78588
Pharmacist,6360,9,13020,14550,15503,1530,2483,33613,156240,186036
Pharmacist 2,6363,9,14337,16024,17074,1687,2737,36861,172044,204888
Pharmacist Resident,6361,9,6051,6763,7206,712,1155,16424,72612,86472
Pharmacy Clerk & Technician 2,6388,9,4356,4851,5169,495,813,12244,52272,62028
Pharmacy Clerk & Technician 3,6389,9,4555,5086,5420,531,865,12735,54660,65040
Physical Therapist,6503,9,8870,9897,10545,1027,1675,23377,106440,126540
Physical/Electronic Security Technician,4037,9,5256,5861,6245,605,989,14464,63072,74940
Physical/Electronic Security Technician 3,4039,9,6350,7097,7562,747,1212,17162,76200,90744
Physician's Assistant,6357,9,9751,10908,11622,1157,1871,25550,117012,139464
Planner 2,1097,9,7327,8177,8713,850,1386,19571,87924,104556
Plumber,4005,9,6350,7097,7562,747,1212,17162,76200,90744
Preadmissions Screening Specialist,6684,9,6350,7097,7562,747,1212,17162,76200,90744
Print Services Technician,3446,9,4356,4851,5169,495,813,12244,52272,62028
Printing Production Coordinator,3475,9,6051,6763,7206,712,1155,16424,72612,86472
Procurement & Contract Specialist 1,436,9,6051,6763,7206,712,1155,16424,72612,86472
Procurement & Contract Specialist 2,437,9,7327,8177,8713,850,1386,19571,87924,104556
Procurement & Contract Specialist 3,438,9,8057,8999,9589,942,1532,21372,96684,115068
Procurement And Contract Assistant,435,9,5019,5598,5964,579,945,13879,60228,71568
Program Analyst 1,860,9,6051,6763,7206,712,1155,16424,72612,86472
Program Analyst 2,861,9,7327,8177,8713,850,1386,19571,87924,104556
Program Analyst 3,863,9,8057,8999,9589,942,1532,21372,96684,115068
Program Analyst 4,863,9,8870,9897,10545,1027,1675,23377,106440,126540
Project Manager 1,854,9,7327,8177,8713,850,1386,19571,87924,104556
Project Manager 2,855,9,8450,9447,10065,997,1615,22341,101400,120780
Project Manager 3,856,9,9293,10385,11065,1092,1772,24420,111516,132780
Psychiatric Social Worker,6730,9,8057,8999,9589,942,1532,21372,96684,115068
Public Affairs Specialist 1,864,9,6664,7436,7923,772,1259,17936,79968,95076
Public Affairs Specialist 2,865,9,8057,8999,9589,942,1532,21372,96684,115068
Public Affairs Specialist 3,866,9,8870,9897,10545,1027,1675,23377,106440,126540
Public Health Educator 1,3337,9,6350,7097,7562,747,1212,17162,76200,90744
Public Health Educator 2,3338,9,6982,7803,8314,821,1332,18721,83784,99768
Public Health Nurse 2,6339,9,9789,10921,11636,1132,1847,25644,117468,139632
Public Health Toxicologist 1,3433,9,8057,8999,9589,942,1532,21372,96684,115068
Public Service Representative 2,333,9,3790,4222,4498,432,708,10848,45480,53976
Public Service Representative 3,333,9,4155,4639,4943,484,788,11748,49860,59316
Public Service Representative 4,334,9,5256,5861,6245,605,989,14464,63072,74940
Radiologic Technologist,6348,9,6664,7436,7923,772,1259,17936,79968,95076
Rehabilitation Instructor For The Blind,3333,9,6051,6763,7206,712,1155,16424,72612,86472
Rehabilitation Instructor For The Blind (Entry),3333,9,5503,6146,6549,643,1046,15073,66036,78588
Rehabilitation Therapist,6531,9,6350,7097,7562,747,1212,17162,76200,90744
Research Analyst 1,1115,9,5019,5598,5964,579,945,13879,60228,71568
Research Analyst 2,1116,9,6051,6763,7206,712,1155,16424,72612,86472
Research Analyst 3,1117,9,6982,7803,8314,821,1332,18721,83784,99768
Research Analyst 4,1118,9,8450,9447,10065,997,1615,22341,101400,120780
Retirement Counselor 1,841,9,5256,5861,6245,605,989,14464,63072,74940
Retirement Counselor 2,843,9,5771,6444,6866,673,1095,15734,69252,82392
Revenue Agent 1,5110,9,4555,5086,5420,531,865,12735,54660,65040
Revenue Agent 2,5111,9,5019,5598,5964,579,945,13879,60228,71568
Revenue Agent 3,5113,9,5503,6146,6549,643,1046,15073,66036,78588
Safety Specialist 1,1345,9,6051,6763,7206,712,1155,16424,72612,86472
Safety Specialist 2,1346,9,7327,8177,8713,850,1386,19571,87924,104556
Scientific Instrument Technician,4339,9,5503,6146,6549,643,1046,15073,66036,78588
Seamster,9301,9,4155,4639,4943,484,788,11748,49860,59316
Securities Examiner,5671,9,8450,9447,10065,997,1615,22341,101400,120780
Shipping Point Inspector 1,5450,9,4155,4639,4943,484,788,11748,49860,59316
Shipping Point Inspector 2,5451,9,4555,5086,5420,531,865,12735,54660,65040
Sign Technician 1,4131,9,5019,5598,5964,579,945,13879,60228,71568
Social Service Assistant,6609,9,4555,5086,5420,531,865,12735,54660,65040
Social Service Specialist 1,6613,9,6664,7436,7923,772,1259,17936,79968,95076
Social Services Specialist 2,6613,9,7327,8177,8713,850,1386,19571,87924,104556
State Library Specialist 1,351,9,3629,4036,4301,407,672,10451,43548,51612
State Library Specialist 2,353,9,4776,5345,5695,569,919,13280,57312,68340
State Procurement Analyst,770,9,8450,9447,10065,997,1615,22341,101400,120780
Student Office Worker,100,9,3005,4301,4301,1296,1296,8912,36060,51612
Supply Specialist 1,758,9,3964,4425,4715,461,751,11277,47568,56580
Supply Specialist 2,759,9,5256,5861,6245,605,989,14464,63072,74940
Tax Auditor 1,5631,9,6664,7436,7923,772,1259,17936,79968,95076
Tax Auditor 2,5633,9,7678,8581,9143,903,1465,20437,92136,109716
Tax Auditor/Entry,5630,9,5256,5861,6245,605,989,14464,63072,74940
Teaching Assistant,3303,9,4155,4639,4943,484,788,11748,49860,59316
Traffic Survey Interviewer,1105,9,3095,3427,3652,332,557,9134,37140,43824
Training & Development Specialist 1,1338,9,6051,6763,7206,712,1155,16424,72612,86472
Training & Development Specialist 2,1339,9,7327,8177,8713,850,1386,19571,87924,104556
Transportation Maintenance Coordinator 1,4161,9,5503,6146,6549,643,1046,15073,66036,78588
Transportation Maintenance Coordinator 2,4163,9,5771,6444,6866,673,1095,15734,69252,82392
Transportation Maintenance Specialist 1,4151,9,4555,5086,5420,531,865,12735,54660,65040
Transportation Maintenance Specialist 2,4153,9,5019,5598,5964,579,945,13879,60228,71568
Transportation Maintenance Specialist Entry,4150,9,3964,4425,4715,461,751,11277,47568,56580
Transportation Services Office Leader,333,9,5503,6146,6549,643,1046,15073,66036,78588
Transportation Services Representative 1,331,9,4555,5086,5420,531,865,12735,54660,65040
Transportation Services Representative 2,333,9,5019,5598,5964,579,945,13879,60228,71568
Transportation Telecommunications Specialist 1,4166,9,5256,5861,6245,605,989,14464,63072,74940
Transportation Telecommunications Specialist 2,4167,9,5771,6444,6866,673,1095,15734,69252,82392
Transporter,4403,9,3483,3865,4118,382,635,10091,41796,49416
Transporting Mental Health Aide,6101,9,4555,5086,5420,531,865,12735,54660,65040
Truck Driver 1,4401,9,4555,5086,5420,531,865,12735,54660,65040
Truck Driver 2,4403,9,5256,5861,6245,605,989,14464,63072,74940
Veterans Service Officer,799,9,6051,6763,7206,712,1155,16424,72612,86472
Veterans Trust Officer,784,9,6051,6763,7206,712,1155,16424,72612,86472
Video Producer,3176,9,7678,8581,9143,903,1465,20437,92136,109716
Vocational Rehabilitation Counselor,6647,9,6664,7436,7923,772,1259,17936,79968,95076
Vocational Rehabilitation Counselor Entry,6646,9,5256,5861,6245,605,989,14464,63072,74940
Vocational Rehabilitation Specialist,6648,9,6982,7803,8314,821,1332,18721,83784,99768
Water Resource Data Technician 1,8510,9,5019,5598,5964,579,945,13879,60228,71568
Water Resource Data Technician 2,8511,9,5503,6146,6549,643,1046,15073,66036,78588
Wildland Fire Dispatcher,8364,9,4155,4639,4943,484,788,11748,49860,59316
Wildland Fire Dispatcher Entry,8363,9,3483,3865,4118,382,635,10091,41796,49416
Wildland Fire Suppression Specialist,8355,9,4555,5086,5420,531,865,12735,54660,65040
Wildland Fire Suppression Specialist Entry,8354,9,3790,4222,4498,432,708,10848,45480,53976
Word Processing Technician 2,531,9,3964,4425,4715,461,751,11277,47568,56580
Word Processing Technician 3,533,9,4356,4851,5169,495,813,12244,52272,62028
Youth Corrections Unit Coordinator,6755,9,6051,6763,7206,712,1155,16424,72612,86472
Accountant 1,1316,10,6350,6763,7206,413,856,17162,76200,86472
Accountant 2,1317,10,7678,8177,8713,499,1035,20437,92136,104556
Accountant 3,1318,10,8870,9447,10065,577,1195,23377,106440,120780
Accounting Technician,313,10,5256,5598,5964,342,708,14464,63072,71568
Activities Coordinator,6530,10,5256,5598,5964,342,708,14464,63072,71568
Administrative Law Judge 1,1510,10,8870,9447,10065,577,1195,23377,106440,120780
Administrative Law Judge 2,1511,10,10242,10908,11622,666,1380,26761,122904,139464
Administrative Law Judge 3,1513,10,12408,13215,14080,807,1672,32103,148896,168960
Administrative Specialist 1,107,10,4776,5086,5420,310,644,13280,57312,65040
Administrative Specialist 2,108,10,5503,5861,6245,358,742,15073,66036,74940
Adult Protective Service Specialist,6616,10,6982,7436,7923,454,941,18721,83784,95076
Aerial Photographer,3540,10,6664,7097,7562,433,898,17936,79968,90744
Aircraft Pilot,8333,10,7678,8177,8713,499,1035,20437,92136,104556
Appraiser Analyst 1,735,10,5019,5345,5695,326,676,13879,60228,68340
Appraiser Analyst 2,736,10,6982,7436,7923,454,941,18721,83784,95076
Appraiser Analyst 3,737,10,8057,8581,9143,524,1086,21372,96684,109716
Appraiser Analyst 4,738,10,9293,9897,10545,604,1252,24420,111516,126540
Apprenticeship Representative,4380,10,6350,6763,7206,413,856,17162,76200,86472
Automotive Fleet Attendant,4417,10,4155,4425,4715,270,560,11748,49860,56580
Automotive Technician 1,4418,10,5256,5598,5964,342,708,14464,63072,71568
Automotive Technician 2,4419,10,6350,6763,7206,413,856,17162,76200,86472
Behavioral Health Specialist 1,6531,10,6664,7097,7562,433,898,17936,79968,90744
Behavioral Health Specialist 2,6534,10,7678,8177,8713,499,1035,20437,92136,104556
Behavioral Health Specialist 3,6535,10,8450,8999,9589,549,1139,22341,101400,115068
Biological Science Assistant,3769,10,3790,4036,4301,246,511,10848,45480,51612
