Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Engineering Technician 3,3111,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Equipment Operator,4433,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Fish and Wildlife Technical Coordinator,8346,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Human Services Case Manager,6630,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Information Systems Specialist 2,1483,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Motor Carrier Enforcement Officer 1,5857,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Natural Resource Specialist 1,8501,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Payroll Analyst,314,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Rehabilitation Instructor For The Blind (Entry),3333,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Revenue Agent 3,5113,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Scientific Instrument Technician,4339,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Transportation Maintenance Coordinator 1,4161,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Transportation Services Office Leader,333,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Water Resource Data Technician 2,8511,3,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Licensed Practical Nurse,6135,3,Non-strikeable,4535,4829.775,5146.125263,295,611,12685,54420,61754
Administrative Specialist 2,108,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Certified Occupation Therapist Assistant,6506,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Dental Assistant 2,6394,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Dormitory Counselor 2,6768,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Executive Support Specialist 2,119,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Incident Response Operations Specialist,4165,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Medical Laboratory Technician 2,6831,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Park Ranger 2,8435,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Parts Specialist 2,783,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Physical/Electronic Security Technician,4037,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Public Service Representative 4,334,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Retirement Counselor 1,841,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Supply Specialist 2,759,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Tax Auditor/Entry,5630,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Transportation Telecommunications Specialist 1,4166,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Truck Driver 2,4403,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Vocational Rehabilitation Counselor Entry,6646,3,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Accounting Technician,313,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Activities Coordinator,6530,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Automotive Technician 1,4418,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Child Support Case Manager Entry,5138,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Engineering Technician 2,3110,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Fish and Wildlife Technician Senior,8343,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Forest Crew Coordinator,8318,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Group Life Coordinator 2,6751,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Human Services Specialist 3,6659,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Investigator 1,5331,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Mental Health Therapist 2,6713,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Mental Health Therapy Coordinator,6718,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Procurement And Contract Assistant,435,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Research Analyst 1,1115,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Revenue Agent 2,5111,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Sign Technician 1,4131,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Transportation Maintenance Specialist 2,4153,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Transportation Services Representative 2,333,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Water Resource Data Technician 1,8510,3,Non-strikeable,4148,4417.62,4706.97411,270,559,11731,49776,56484
Administrative Specialist 1,107,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Cook,9117,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Electronic Publishing Design Specialist 1,3510,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Executive Support Specialist 1,118,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Fish and Wildlife Technician,8341,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Grounds Maintenance Worker 2,4110,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Human Services Specialist 2,6658,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Laboratory Technician 2,6811,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Manual Arts Instructor,3304,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Mental Health Security Technician,6708,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Mental Health Therapist 1,6711,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Park Specialist,8445,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Pharmacy Clerk & Technician 3,6389,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Revenue Agent 1,5110,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Shipping Point Inspector 2,5451,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Social Service Assistant,6609,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Transportation Maintenance Specialist 1,4151,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Transportation Services Representative 1,331,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Transporting Mental Health Aide,6101,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Truck Driver 1,4401,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Wildland Fire Suppression Specialist,8355,3,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Dormitory Counselor 1,6767,3,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Forest Management Technician,8311,3,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Human Services Assistant 2,6606,3,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Pharmacy Clerk & Technician 2,6388,3,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Print Services Technician,3446,3,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Word Processing Technician 3,533,3,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Group Life Coordinator 1,6750,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Human Services Specialist 1,6657,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Livestock Brand Inspector,5430,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Mail Delivery Driver,4404,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Mail Equipment Operator 2,404,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Mental Health Therapy Technician,6710,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Office Coordinator,801,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Office Specialist 2,104,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Public Service Representative 3,333,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Seamster,9301,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Shipping Point Inspector 1,5450,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Teaching Assistant,3303,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Wildland Fire Dispatcher,8364,3,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Automotive Fleet Attendant,4417,3,Non-strikeable,3334,3550.71,3783.281505,217,449,9723,40008,45399
Grounds Maintenance Worker 1,4109,3,Non-strikeable,3334,3550.71,3783.281505,217,449,9723,40008,45399
Parking Services Representative,5550,3,Non-strikeable,3334,3550.71,3783.281505,217,449,9723,40008,45399
Supply Specialist 1,758,3,Non-strikeable,3334,3550.71,3783.281505,217,449,9723,40008,45399
Word Processing Technician 2,531,3,Non-strikeable,3334,3550.71,3783.281505,217,449,9723,40008,45399
Custodial Services Coordinator,4103,3,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Fish and Wildlife Technician Entry,8340,3,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Food Service Worker,9103,3,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Mail Services Assistant,405,3,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Office Specialist 1,103,3,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Public Service Representative 2,333,3,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Wildland Fire Suppression Specialist Entry,8354,3,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Biological Science Assistant,3769,3,Non-strikeable,3114,3316.41,3533.634855,202,420,9180,37368,42404
Data Entry Control Technician,1475,3,Non-strikeable,3114,3316.41,3533.634855,202,420,9180,37368,42404
Data Entry Operator,501,3,Non-strikeable,3114,3316.41,3533.634855,202,420,9180,37368,42404
Laborer/Student Worker,4116,3,Non-strikeable,3114,3316.41,3533.634855,202,420,9180,37368,42404
Mail Equipment Operator 1,403,3,Non-strikeable,3114,3316.41,3533.634855,202,420,9180,37368,42404
Park Ranger Assistant,8433,3,Non-strikeable,3114,3316.41,3533.634855,202,420,9180,37368,42404
State Library Specialist 1,351,3,Non-strikeable,3114,3316.41,3533.634855,202,420,9180,37368,42404
Forest Lookout,8353,3,Non-strikeable,3009,3204.585,3414.485318,196,405,8921,36108,40974
Wildland Fire Dispatcher Entry,8363,3,Non-strikeable,3009,3204.585,3414.485318,196,405,8921,36108,40974
Behavioral Health Specialist 3,6535,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Chemist 3,3717,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Compliance Specialist 3,5348,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Dental Hygienist,6396,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
District Veterinarian,6440,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Employment Appeals Board Legal Staff,1543,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Facility Energy Technician 4,4035,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Governmental Auditor 3,5648,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Industrial Hygienist 3,5707,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Information Systems Specialist 6,1486,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Information Systems Specialist 7,1487,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Nutrition Consultant,5955,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Occupational Safety Specialist 3,5711,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Procurement & Contract Specialist 3,438,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Program Analyst 3,863,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Psychiatric Social Worker,6730,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Public Affairs Specialist 2,865,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Public Health Toxicologist 1,3433,4,Non-strikeable,6816,7259.04,7734.50712,443,919,18311,81792,92814
Accountant 1,1316,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Apprenticeship Representative,4380,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Automotive Technician 2,4419,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Child Support Specialist,5133,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Disability Analyst 1,5936,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Economist 1,1161,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Employment Adjudicator,6693,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Fiscal Analyst 1,1343,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Fiscal Auditor 1,5641,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Forest Officer,8357,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Investigator 2,5333,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Loan Specialist 1,1001,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Microbiologist 1,3779,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Operations & Policy Analyst 1,870,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Pharmacist Resident,6361,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Printing Production Coordinator,3475,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Procurement & Contract Specialist 1,436,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Program Analyst 1,860,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Rehabilitation Instructor For The Blind,3333,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Research Analyst 2,1116,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Safety Specialist 1,1345,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Training & Development Specialist 1,1338,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Veterans Service Officer,799,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Veterans Trust Officer,784,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Youth Corrections Unit Coordinator,6755,4,Non-strikeable,5231,5571.015,5935.916483,340,705,14402,62772,71231
Business & Employment Specialist 2,6699,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Child Support Case Manager,5139,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Civil Rights Investigator 1,5340,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Compliance Specialist 1,5346,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Engineering Technician 3,3111,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Equipment Operator,4433,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Fish and Wildlife Technical Coordinator,8346,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Human Services Case Manager,6630,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Information Systems Specialist 2,1483,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Motor Carrier Enforcement Officer 1,5857,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Natural Resource Specialist 1,8501,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Payroll Analyst,314,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Rehabilitation Instructor For The Blind (Entry),3333,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Revenue Agent 3,5113,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Scientific Instrument Technician,4339,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Transportation Maintenance Coordinator 1,4161,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Transportation Services Office Leader,333,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Water Resource Data Technician 2,8511,4,Non-strikeable,4766,5075.79,5408.254245,310,642,13255,57192,64899
Licensed Practical Nurse,6135,4,Non-strikeable,4747,5055.555,5386.693853,309,640,13208,56964,64640
Administrative Specialist 2,108,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Certified Occupation Therapist Assistant,6506,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Dental Assistant 2,6394,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Dormitory Counselor 2,6768,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Executive Support Specialist 2,119,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Incident Response Operations Specialist,4165,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Medical Laboratory Technician 2,6831,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Park Ranger 2,8435,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Parts Specialist 2,783,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Physical/Electronic Security Technician,4037,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Public Service Representative 4,334,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Retirement Counselor 1,841,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Supply Specialist 2,759,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Tax Auditor/Entry,5630,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Transportation Telecommunications Specialist 1,4166,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Truck Driver 2,4403,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Vocational Rehabilitation Counselor Entry,6646,4,Non-strikeable,4547,4842.555,5159.742353,296,613,12715,54564,61917
Accounting Technician,313,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Activities Coordinator,6530,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Automotive Technician 1,4418,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Child Support Case Manager Entry,5138,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Engineering Technician 2,3110,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Fish and Wildlife Technician Senior,8343,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Forest Crew Coordinator,8318,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Group Life Coordinator 2,6751,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Human Services Specialist 3,6659,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Investigator 1,5331,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Mental Health Therapist 2,6713,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Mental Health Therapy Coordinator,6718,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Procurement And Contract Assistant,435,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Research Analyst 1,1115,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Revenue Agent 2,5111,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Sign Technician 1,4131,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Transportation Maintenance Specialist 2,4153,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Transportation Services Representative 2,333,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Water Resource Data Technician 1,8510,4,Non-strikeable,4337,4618.905,4921.443278,282,584,12197,52044,59057
Administrative Specialist 1,107,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Cook,9117,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Electronic Publishing Design Specialist 1,3510,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Executive Support Specialist 1,118,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Fish and Wildlife Technician,8341,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Grounds Maintenance Worker 2,4110,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Human Services Specialist 2,6658,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Laboratory Technician 2,6811,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Manual Arts Instructor,3304,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Mental Health Security Technician,6708,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Mental Health Therapist 1,6711,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Park Specialist,8445,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Pharmacy Clerk & Technician 3,6389,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Revenue Agent 1,5110,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Shipping Point Inspector 2,5451,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Social Service Assistant,6609,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Transportation Maintenance Specialist 1,4151,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Transportation Services Representative 1,331,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Transporting Mental Health Aide,6101,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Truck Driver 1,4401,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Wildland Fire Suppression Specialist,8355,4,Non-strikeable,3959,4216.335,4492.504943,257,534,11265,47508,53910
Dormitory Counselor 1,6767,4,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Forest Management Technician,8311,4,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Human Services Assistant 2,6606,4,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Pharmacy Clerk & Technician 2,6388,4,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Print Services Technician,3446,4,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Word Processing Technician 3,533,4,Non-strikeable,3780,4025.7,4289.38335,246,509,10823,45360,51473
Group Life Coordinator 1,6750,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Human Services Specialist 1,6657,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Livestock Brand Inspector,5430,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Mail Delivery Driver,4404,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Mail Equipment Operator 2,404,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Mental Health Therapy Technician,6710,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Office Coordinator,801,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Office Specialist 2,104,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Public Service Representative 3,333,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Seamster,9301,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Shipping Point Inspector 1,5450,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Teaching Assistant,3303,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Wildland Fire Dispatcher,8364,4,Non-strikeable,3604,3838.26,4089.66603,234,486,10389,43248,49076
Automotive Fleet Attendant,4417,4,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Grounds Maintenance Worker 1,4109,4,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Parking Services Representative,5550,4,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Supply Specialist 1,758,4,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Word Processing Technician 2,531,4,Non-strikeable,3477,3703.005,3945.551828,226,469,10076,41724,47347
Custodial Services Coordinator,4103,4,Non-strikeable,3334,3550.71,3783.281505,217,449,9723,40008,45399
Fish and Wildlife Technician Entry,8340,4,Non-strikeable,3334,3550.71,3783.281505,217,449,9723,40008,45399
Food Service Worker,9103,4,Non-strikeable,3334,3550.71,3783.281505,217,449,9723,40008,45399
Mail Services Assistant,405,4,Non-strikeable,3334,3550.71,3783.281505,217,449,9723,40008,45399
Office Specialist 1,103,4,Non-strikeable,3334,3550.71,3783.281505,217,449,9723,40008,45399
Public Service Representative 2,333,4,Non-strikeable,3334,3550.71,3783.281505,217,449,9723,40008,45399
Wildland Fire Suppression Specialist Entry,8354,4,Non-strikeable,3334,3550.71,3783.281505,217,449,9723,40008,45399
Biological Science Assistant,3769,4,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Data Entry Control Technician,1475,4,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Data Entry Operator,501,4,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Laborer/Student Worker,4116,4,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Mail Equipment Operator 1,403,4,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Park Ranger Assistant,8433,4,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
State Library Specialist 1,351,4,Non-strikeable,3236,3446.34,3672.07527,210,436,9481,38832,44065
Forest Lookout,8353,4,Non-strikeable,3114,3316.41,3533.634855,202,420,9180,37368,42404
