Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Epidemiologist 1,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Epidemiologist 2,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Epidemiologist 3,,8,Strikeable,8870,9897,11065,1027,2195,106440,132780
Equipment Operator,,8,Strikeable,5256,5861,6549,605,1293,63072,78588
Executive Assistant,,8,Strikeable,6350,7097,7923,747,1573,76200,95076
Executive Support Specialist 1,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Executive Support Specialist 2,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Facilities Engineer 1,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Facilities Engineer 3,,8,Strikeable,9293,10385,11622,1092,2329,111516,139464
Facility Energy Technician 2,,8,Strikeable,5503,6146,6866,643,1363,66036,82392
Facility Energy Technician 3,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Facility Energy Technician 4,,8,Strikeable,7678,8581,9589,903,1911,92136,115068
Facility Maintenance Specialist,,8,Strikeable,4555,5086,5695,531,1140,54660,68340
Facility Operations Specialist 1,,8,Strikeable,6051,6763,7562,712,1511,72612,90744
Facility Operations Specialist 2,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Financial Enforcement Officer,,8,Strikeable,8870,9897,11065,1027,2195,106440,132780
Financial Examiner 1,,8,Strikeable,6051,6763,7562,712,1511,72612,90744
Financial Examiner 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Financial Examiner 3,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Financial Investigator 1,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Fiscal Analyst 1,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Fiscal Analyst 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Fiscal Analyst 3,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Fiscal Auditor 1,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Fish and Wildlife Technical Coordinator,,8,Strikeable,5256,5861,6549,605,1293,63072,78588
Fish and Wildlife Technician,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Fish and Wildlife Technician Entry,,8,Strikeable,3629,4036,4498,407,869,43548,53976
Fish and Wildlife Technician Senior,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Food Service Worker,,8,Strikeable,3629,4036,4498,407,869,43548,53976
Forest Crew Coordinator,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Forest Lookout,,8,Strikeable,3335,3709,4118,374,783,40020,49416
Forest Management Technician,,8,Strikeable,4155,4639,5169,484,1014,49860,62028
Forest Officer,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Geologist 2,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Governmental Auditor 1,,8,Strikeable,6051,6763,7562,712,1511,72612,90744
Governmental Auditor 2,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Governmental Auditor 3,,8,Strikeable,7678,8581,9589,903,1911,92136,115068
Grounds Maintenance Worker 1,,8,Strikeable,3790,4222,4715,432,925,45480,56580
Grounds Maintenance Worker 2,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Group Life Coordinator 1,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Group Life Coordinator 2,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Hairdresser,,8,Strikeable,3790,4222,4715,432,925,45480,56580
Health Care Investigator/Advisor,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Health Information Specialist,,8,Strikeable,4555,5086,5695,531,1140,54660,68340
Heavy Equipment Technician 1,,8,Strikeable,5977,6668,7442,691,1465,71724,89304
Heavy Equipment Technician 2,,8,Strikeable,6664,7436,8303,772,1639,79968,99636
Human Services Assistant 2,,8,Strikeable,4155,4639,5169,484,1014,49860,62028
Human Services Case Manager,,8,Strikeable,5256,5861,6549,605,1293,63072,78588
Human Services Specialist 1,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Human Services Specialist 2,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Human Services Specialist 3,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Human Services Specialist 4,,8,Strikeable,5503,6146,6866,643,1363,66036,82392
Incident Response Operations Specialist,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Industrial Hygienist 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Industrial Hygienist 3,,8,Strikeable,7678,8581,9589,903,1911,92136,115068
Industrial Hygienist 4,,8,Strikeable,8450,9447,10545,997,2095,101400,126540
Information Systems Specialist 2,,8,Strikeable,5285,5892,6574,607,1289,63420,78888
Information Systems Specialist 3,,8,Strikeable,6049,6744,7521,695,1472,72588,90252
Information Systems Specialist 4,,8,Strikeable,6563,7321,8167,758,1604,78756,98004
Information Systems Specialist 5,,8,Strikeable,7330,8174,9116,844,1786,87960,109392
Information Systems Specialist 6,,8,Strikeable,7846,8750,9766,904,1920,94152,117192
Information Systems Specialist 7,,8,Strikeable,8683,9682,10799,999,2116,104196,129588
Information Systems Specialist 8,,8,Strikeable,9468,10558,11780,1090,2312,113616,141360
Institution Registered Nurse,,8,Strikeable,9345,10425,11636,1080,2291,112140,139632
Insurance Examiner,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Insurance Examiner Entry,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Investigator 1,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Investigator 2,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Investigator 3,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Investment Analyst 1,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Investment Analyst 2,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Investment Analyst 3,,8,Strikeable,9293,10385,11622,1092,2329,111516,139464
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,,8,Strikeable,6051,6763,7562,712,1511,72612,90744
Laboratory Technician 2,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Laborer/Student Worker,,8,Strikeable,3483,3865,4301,382,818,41796,51612
Legal Secretary,,8,Strikeable,4555,5086,5695,531,1140,54660,68340
Librarian,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Licensed Practical Nurse,,8,Strikeable,5732,6400,7147,668,1415,68784,85764
Livestock Brand Inspector,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Loan Specialist 1,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Loan Specialist 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Loan Specialist 3,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Machinist,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Mail Delivery Driver,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Mail Equipment Operator 1,,8,Strikeable,3483,3865,4301,382,818,41796,51612
Mail Equipment Operator 2,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Mail Services Assistant,,8,Strikeable,3629,4036,4498,407,869,43548,53976
Manual Arts Instructor,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Medical Consultant,,8,Strikeable,12408,13866,15503,1458,3095,148896,186036
Medical Laboratory Technician 1,,8,Strikeable,4555,5086,5695,531,1140,54660,68340
Medical Laboratory Technician 2,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Medical Review Coordinator,,8,Strikeable,9345,10425,11636,1080,2291,112140,139632
Mental Health Security Technician,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Mental Health Therapist 1,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Mental Health Therapist 2,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Mental Health Therapy Coordinator,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Mental Health Therapy Technician,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Microbiologist 1,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Microbiologist 2,,8,Strikeable,6350,7097,7923,747,1573,76200,95076
Microbiologist 3,,8,Strikeable,7327,8177,9143,850,1816,87924,109716
Motor Carrier Enforcement Officer 1,,8,Strikeable,5256,5861,6549,605,1293,63072,78588
Motor Carrier Enforcement Officer 2,,8,Strikeable,6051,6763,7562,712,1511,72612,90744
Natural Resource Specialist 1,,8,Strikeable,5256,5861,6549,605,1293,63072,78588
Natural Resource Specialist 2,,8,Strikeable,6051,6763,7562,712,1511,72612,90744
Natural Resource Specialist 3 pay option A ,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Natural Resource Specialist 3 pay option B Hydrogeologist,,8,Strikeable,7327,8177,9143,850,1816,87924,109716
Natural Resource Specialist 3 pay option D Hydrogeologist,,8,Strikeable,7327,8177,9143,850,1816,87924,109716
Natural Resource Specialist 4 pay option A,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Natural Resource Specialist 4 pay option B Hydrogeologist,,8,Strikeable,8450,9447,10545,997,2095,101400,126540
Natural Resource Specialist 4 pay Option C Toxicologist ,,8,Strikeable,8450,9447,10545,997,2095,101400,126540
Natural Resource Specialist 4 Pay Option D Registered Sanitarian,,8,Strikeable,8450,9447,10545,997,2095,101400,126540
Natural Resource Specialist 5 Pay Option A,,8,Strikeable,8870,9897,11065,1027,2195,106440,132780
Natural Resource Specialist 5 Pay Option B Hydrogeologist,,8,Strikeable,9293,10385,11622,1092,2329,111516,139464
Nutrition Consultant,,8,Strikeable,7678,8581,9589,903,1911,92136,115068
Occupational Safety Specialist 1,,8,Strikeable,5503,6146,6866,643,1363,66036,82392
Occupational Safety Specialist 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Occupational Safety Specialist 3,,8,Strikeable,7678,8581,9589,903,1911,92136,115068
Occupational Therapist,,8,Strikeable,8870,9897,11065,1027,2195,106440,132780
Office Assistant 1,,8,Strikeable,3005,3427,3652,422,647,36060,43824
Office Assistant 2,,8,Strikeable,3218,3552,3952,334,734,38616,47424
Office Coordinator,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Office Specialist 1,,8,Strikeable,3629,4036,4498,407,869,43548,53976
Office Specialist 2,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Operations & Policy Analyst 1,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Operations & Policy Analyst 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Operations & Policy Analyst 3,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Operations & Policy Analyst 4,,8,Strikeable,8870,9897,11065,1027,2195,106440,132780
Painter,,8,Strikeable,5503,6146,6866,643,1363,66036,82392
Paralegal,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Park Ranger 1,,8,Strikeable,4555,5086,5682,531,1127,54660,68184
Park Ranger 2,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Park Ranger 3,,8,Strikeable,5503,6146,6866,643,1363,66036,82392
Park Ranger Assistant,,8,Strikeable,3483,3865,4301,382,818,41796,51612
Park Specialist,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Parking Services Representative,,8,Strikeable,3790,4222,4715,432,925,45480,56580
Parts Specialist 2,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Payroll Analyst,,8,Strikeable,5256,5861,6549,605,1293,63072,78588
Pharmacist,,8,Strikeable,12408,13866,15503,1458,3095,148896,186036
Pharmacist 2,,8,Strikeable,13662,15269,17074,1607,3412,163944,204888
Pharmacist Resident,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Pharmacy Clerk & Technician 2,,8,Strikeable,4155,4639,5169,484,1014,49860,62028
Pharmacy Clerk & Technician 3,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Physical Therapist,,8,Strikeable,8450,9447,10545,997,2095,101400,126540
Physical/Electronic Security Technician,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Physical/Electronic Security Technician 3,,8,Strikeable,6051,6763,7562,712,1511,72612,90744
Physician's Assistant,,8,Strikeable,9293,10385,11622,1092,2329,111516,139464
Planner 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Plumber,,8,Strikeable,6051,6763,7562,712,1511,72612,90744
Preadmissions Screening Specialist,,8,Strikeable,6051,6763,7562,712,1511,72612,90744
Print Services Technician,,8,Strikeable,4155,4639,5169,484,1014,49860,62028
Printing Production Coordinator,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Procurement & Contract Specialist 1,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Procurement & Contract Specialist 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Procurement & Contract Specialist 3,,8,Strikeable,7678,8581,9589,903,1911,92136,115068
Procurement And Contract Assistant,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Program Analyst 1,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Program Analyst 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Program Analyst 3,,8,Strikeable,7678,8581,9589,903,1911,92136,115068
Program Analyst 4,,8,Strikeable,8450,9447,10545,997,2095,101400,126540
Project Manager 1,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Project Manager 2,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Project Manager 3,,8,Strikeable,8870,9897,11065,1027,2195,106440,132780
Psychiatric Social Worker,,8,Strikeable,7678,8581,9589,903,1911,92136,115068
Public Affairs Specialist 1,,8,Strikeable,6350,7097,7923,747,1573,76200,95076
Public Affairs Specialist 2,,8,Strikeable,7678,8581,9589,903,1911,92136,115068
Public Affairs Specialist 3,,8,Strikeable,8450,9447,10545,997,2095,101400,126540
Public Health Educator 1,,8,Strikeable,6051,6763,7562,712,1511,72612,90744
Public Health Educator 2,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Public Health Nurse 2,,8,Strikeable,9345,10425,11636,1080,2291,112140,139632
Public Health Toxicologist 1,,8,Strikeable,7678,8581,9589,903,1911,92136,115068
Public Service Representative 2,,8,Strikeable,3629,4036,4498,407,869,43548,53976
Public Service Representative 3,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Public Service Representative 4,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Radiologic Technologist,,8,Strikeable,6350,7097,7923,747,1573,76200,95076
Rehabilitation Instructor For The Blind,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Rehabilitation Instructor For The Blind (Entry),,8,Strikeable,5256,5861,6549,605,1293,63072,78588
Rehabilitation Therapist,,8,Strikeable,6051,6763,7562,712,1511,72612,90744
Research Analyst 1,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Research Analyst 2,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Research Analyst 3,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Research Analyst 4,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Retirement Counselor 1,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Retirement Counselor 2,,8,Strikeable,5503,6146,6866,643,1363,66036,82392
Revenue Agent 1,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Revenue Agent 2,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Revenue Agent 3,,8,Strikeable,5256,5861,6549,605,1293,63072,78588
Safety Specialist 1,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Safety Specialist 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Scientific Instrument Technician,,8,Strikeable,5256,5861,6549,605,1293,63072,78588
Seamster,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Securities Examiner,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Shipping Point Inspector 1,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Shipping Point Inspector 2,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Sign Technician 1,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Social Service Assistant,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Social Service Specialist 1,,8,Strikeable,6350,7097,7923,747,1573,76200,95076
Social Services Specialist 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
State Library Specialist 1,,8,Strikeable,3483,3865,4301,382,818,41796,51612
State Library Specialist 2,,8,Strikeable,4555,5086,5695,531,1140,54660,68340
State Procurement Analyst,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Student Office Worker,,8,Strikeable,0,4036,4301,4036,4301,0,51612
Supply Specialist 1,,8,Strikeable,3790,4222,4715,432,925,45480,56580
Supply Specialist 2,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Tax Auditor 1,,8,Strikeable,6350,7097,7923,747,1573,76200,95076
Tax Auditor 2,,8,Strikeable,7327,8177,9143,850,1816,87924,109716
Tax Auditor/Entry,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Teaching Assistant,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Traffic Survey Interviewer,,8,Strikeable,3005,3427,3652,422,647,36060,43824
Training & Development Specialist 1,,8,Strikeable,6051,6444,7206,393,1155,72612,86472
Training & Development Specialist 2,,8,Strikeable,7327,7803,8713,476,1386,87924,104556
Transportation Maintenance Coordinator 2,,8,Strikeable,5503,6146,6866,643,1363,66036,82392
Transportation Maintenance Specialist 1,,8,Strikeable,4555,4851,5420,296,865,54660,65040
Transportation Maintenance Specialist 2,,8,Strikeable,5019,5345,5964,326,945,60228,71568
Transportation Maintenance Specialist Entry,,8,Strikeable,3790,4222,4715,432,925,45480,56580
Transportation Services Office Leader,,8,Strikeable,5256,5861,6549,605,1293,63072,78588
Transportation Services Representative 1,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Transportation Services Representative 2,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Transportation Telecommunications Specialist 1,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Transportation Telecommunications Specialist 2,,8,Strikeable,5503,6146,6866,643,1363,66036,82392
Transporter,,8,Strikeable,3335,3709,4118,374,783,40020,49416
Transporting Mental Health Aide,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Truck Driver 1,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Truck Driver 2,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Veterans Service Officer,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Veterans Trust Officer,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Video Producer,,8,Strikeable,7327,8177,9143,850,1816,87924,109716
Vocational Rehabilitation Counselor,,8,Strikeable,6350,7097,7923,747,1573,76200,95076
Vocational Rehabilitation Counselor Entry,,8,Strikeable,5019,5598,6245,579,1226,60228,74940
Vocational Rehabilitation Specialist,,8,Strikeable,6664,7436,8314,772,1650,79968,99768
Water Resource Data Technician 1,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Water Resource Data Technician 2,,8,Strikeable,5256,5861,6549,605,1293,63072,78588
Wildland Fire Dispatcher,,8,Strikeable,3964,4425,4943,461,979,47568,59316
Wildland Fire Dispatcher Entry,,8,Strikeable,3005,4036,4301,1031,1296,36060,51612
Wildland Fire Suppression Specialist,,8,Strikeable,4356,4851,5420,495,1064,52272,65040
Wildland Fire Suppression Specialist Entry,,8,Strikeable,3629,4036,4498,407,869,43548,53976
Word Processing Technician 2,,8,Strikeable,3790,4222,4715,432,925,45480,56580
Word Processing Technician 3,,8,Strikeable,4155,4639,5169,484,1014,49860,62028
Youth Corrections Unit Coordinator,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Accountant 1,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Accounting Technician,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Activities Coordinator,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Administrative Specialist 1,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Administrative Specialist 2,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Apprenticeship Representative,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Automotive Fleet Attendant,,8,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Automotive Technician 1,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Automotive Technician 2,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Behavioral Health Specialist 3,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Biological Science Assistant,,8,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Business & Employment Specialist 2,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Certified Occupation Therapist Assistant,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Chemist 3,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Child Support Case Manager,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Child Support Case Manager Entry,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Child Support Specialist,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Civil Rights Investigator 1,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Compliance Specialist 1,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Compliance Specialist 3,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Cook,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Custodial Services Coordinator,,8,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Data Entry Control Technician,,8,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Data Entry Operator,,8,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Dental Assistant 2,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Dental Hygienist,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Disability Analyst 1,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
District Veterinarian,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
DOJ Claims Examiner,,8,Non-Strikeable,6031,6728.67,7517.768438,698,1487,72372,90213
Dormitory Counselor 1,,8,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Dormitory Counselor 2,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Economist 1,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Electronic Publishing Design Specialist 1,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Employment Adjudicator,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Employment Appeals Board Legal Staff,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Engineering Technician 2,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Engineering Technician 3,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Equipment Operator,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Executive Support Specialist 1,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Executive Support Specialist 2,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Facility Energy Technician 4,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Fiscal Analyst 1,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Fiscal Auditor 1,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Fish and Wildlife Technical Coordinator,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Fish and Wildlife Technician,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Fish and Wildlife Technician Entry,,8,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Fish and Wildlife Technician Senior,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Food Service Worker,,8,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Forest Crew Coordinator,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Forest Lookout,,8,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Forest Management Technician,,8,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Forest Officer,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Governmental Auditor 3,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Grounds Maintenance Worker 1,,8,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Grounds Maintenance Worker 2,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Group Life Coordinator 1,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Group Life Coordinator 2,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Human Services Assistant 2,,8,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Human Services Case Manager,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Human Services Specialist 1,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Human Services Specialist 2,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Human Services Specialist 3,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Incident Response Operations Specialist,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Industrial Hygienist 3,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Investigator 1,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Investigator 2,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Laboratory Technician 2,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Laborer/Student Worker,,8,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Licensed Practical Nurse,,8,Non-Strikeable,5475,6087.54,6212.797313,613,738,65700,74554
Livestock Brand Inspector,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Loan Specialist 1,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Mail Delivery Driver,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Mail Equipment Operator 1,,8,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Mail Equipment Operator 2,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Mail Services Assistant,,8,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Manual Arts Instructor,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Medical Laboratory Technician 2,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Mental Health Security Technician,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Mental Health Therapist 1,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Mental Health Therapist 2,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Mental Health Therapy Coordinator,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Mental Health Therapy Technician,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Microbiologist 1,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Motor Carrier Enforcement Officer 1,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Nutrition Consultant,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Occupational Safety Specialist 3,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Office Coordinator,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Office Specialist 1,,8,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
