Position,Classification code,Current Step,current_monthly,monthly_pay_at_contract_end,difference in monthly pay,pct_change,Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract,Difference in annual pay
Public Affairs Specialist 3,866,10,9293,10545,1252,13.47%,"$24,420 ","$111,516 ","$126,540 ","$15,024 "
Public Health Educator 1,3337,1,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Public Health Educator 1,3337,2,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Public Health Educator 1,3337,3,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Public Health Educator 1,3337,4,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Public Health Educator 1,3337,5,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Public Health Educator 1,3337,6,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Public Health Educator 1,3337,7,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Public Health Educator 1,3337,8,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Public Health Educator 1,3337,9,6350,7544,1194,18.80%,"$17,162 ","$76,200 ","$90,528 ","$14,328 "
Public Health Educator 1,3337,10,6664,7562,898,13.48%,"$17,936 ","$79,968 ","$90,744 ","$10,776 "
Public Health Educator 2,3338,1,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Public Health Educator 2,3338,2,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Public Health Educator 2,3338,3,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Public Health Educator 2,3338,4,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Public Health Educator 2,3338,5,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Public Health Educator 2,3338,6,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Public Health Educator 2,3338,7,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Public Health Educator 2,3338,8,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Public Health Educator 2,3338,9,6982,8295,1313,18.81%,"$18,721 ","$83,784 ","$99,540 ","$15,756 "
Public Health Educator 2,3338,10,7327,8314,987,13.47%,"$19,571 ","$87,924 ","$99,768 ","$11,844 "
Public Health Nurse 2,6339,1,6756,8404,1648,24.39%,"$18,163 ","$81,072 ","$100,848 ","$19,776 "
Public Health Nurse 2,6339,2,7074,8799,1725,24.39%,"$18,947 ","$84,888 ","$105,588 ","$20,700 "
Public Health Nurse 2,6339,3,7410,9217,1807,24.39%,"$19,776 ","$88,920 ","$110,604 ","$21,684 "
Public Health Nurse 2,6339,4,7764,9657,1893,24.38%,"$20,649 ","$93,168 ","$115,884 ","$22,716 "
Public Health Nurse 2,6339,5,8130,10113,1983,24.39%,"$21,552 ","$97,560 ","$121,356 ","$23,796 "
Public Health Nurse 2,6339,6,8519,10597,2078,24.39%,"$22,511 ","$102,228 ","$127,164 ","$24,936 "
Public Health Nurse 2,6339,7,8964,11150,2186,24.39%,"$23,609 ","$107,568 ","$133,800 ","$26,232 "
Public Health Nurse 2,6339,8,9345,11624,2279,24.39%,"$24,549 ","$112,140 ","$139,488 ","$27,348 "
Public Health Nurse 2,6339,9,9789,11630,1841,18.81%,"$25,644 ","$117,468 ","$139,560 ","$22,092 "
Public Health Nurse 2,6339,10,10254,11635,1381,13.47%,"$26,791 ","$123,048 ","$139,620 ","$16,572 "
Public Health Toxicologist 1,3433,1,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Public Health Toxicologist 1,3433,2,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Public Health Toxicologist 1,3433,3,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Public Health Toxicologist 1,3433,4,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Public Health Toxicologist 1,3433,5,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Public Health Toxicologist 1,3433,6,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Public Health Toxicologist 1,3433,7,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Public Health Toxicologist 1,3433,8,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Public Health Toxicologist 1,3433,9,8057,9572,1515,18.80%,"$21,372 ","$96,684 ","$114,864 ","$18,180 "
Public Health Toxicologist 1,3433,10,8450,9588,1138,13.47%,"$22,341 ","$101,400 ","$115,056 ","$13,656 "
Public Service Representative 2,333,1,0,0,0,,"$1,500 ",$-   , $-   , $-   
Public Service Representative 2,333,2,0,0,0,,"$1,500 ",$-   , $-   , $-   
Public Service Representative 2,333,3,3005,3738,733,24.39%,"$8,912 ","$36,060 ","$44,856 ","$8,796 "
Public Service Representative 2,333,4,3095,3849,754,24.36%,"$9,134 ","$37,140 ","$46,188 ","$9,048 "
Public Service Representative 2,333,5,3218,4002,784,24.36%,"$9,437 ","$38,616 ","$48,024 ","$9,408 "
Public Service Representative 2,333,6,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Public Service Representative 2,333,7,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Public Service Representative 2,333,8,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Public Service Representative 2,333,9,3790,4502,712,18.79%,"$10,848 ","$45,480 ","$54,024 ","$8,544 "
Public Service Representative 2,333,10,3964,4498,534,13.47%,"$11,277 ","$47,568 ","$53,976 ","$6,408 "
Public Service Representative 3,333,1,3005,3738,733,24.39%,"$8,912 ","$36,060 ","$44,856 ","$8,796 "
Public Service Representative 3,333,2,3095,3849,754,24.36%,"$9,134 ","$37,140 ","$46,188 ","$9,048 "
Public Service Representative 3,333,3,3218,4002,784,24.36%,"$9,437 ","$38,616 ","$48,024 ","$9,408 "
Public Service Representative 3,333,4,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Public Service Representative 3,333,5,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Public Service Representative 3,333,6,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Public Service Representative 3,333,7,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Public Service Representative 3,333,8,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Public Service Representative 3,333,9,4155,4936,781,18.80%,"$11,748 ","$49,860 ","$59,232 ","$9,372 "
Public Service Representative 3,333,10,4356,4943,587,13.48%,"$12,244 ","$52,272 ","$59,316 ","$7,044 "
Public Service Representative 4,334,1,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Public Service Representative 4,334,2,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Public Service Representative 4,334,3,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Public Service Representative 4,334,4,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Public Service Representative 4,334,5,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Public Service Representative 4,334,6,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Public Service Representative 4,334,7,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Public Service Representative 4,334,8,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Public Service Representative 4,334,9,5256,6244,988,18.80%,"$14,464 ","$63,072 ","$74,928 ","$11,856 "
Public Service Representative 4,334,10,5503,6244,741,13.47%,"$15,073 ","$66,036 ","$74,928 ","$8,892 "
Radiologic Technologist,6348,1,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Radiologic Technologist,6348,2,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Radiologic Technologist,6348,3,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Radiologic Technologist,6348,4,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Radiologic Technologist,6348,5,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Radiologic Technologist,6348,6,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Radiologic Technologist,6348,7,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Radiologic Technologist,6348,8,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Radiologic Technologist,6348,9,6664,7917,1253,18.80%,"$17,936 ","$79,968 ","$95,004 ","$15,036 "
Radiologic Technologist,6348,10,6982,7922,940,13.46%,"$18,721 ","$83,784 ","$95,064 ","$11,280 "
Rehabilitation Instructor For The Blind,3333,1,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Rehabilitation Instructor For The Blind,3333,2,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Rehabilitation Instructor For The Blind,3333,3,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Rehabilitation Instructor For The Blind,3333,4,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Rehabilitation Instructor For The Blind,3333,5,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Rehabilitation Instructor For The Blind,3333,6,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Rehabilitation Instructor For The Blind,3333,7,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Rehabilitation Instructor For The Blind,3333,8,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Rehabilitation Instructor For The Blind,3333,9,6051,7189,1138,18.81%,"$16,424 ","$72,612 ","$86,268 ","$13,656 "
Rehabilitation Instructor For The Blind,3333,10,6350,7205,855,13.46%,"$17,162 ","$76,200 ","$86,460 ","$10,260 "
Rehabilitation Instructor For The Blind (Entry),3333,1,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Rehabilitation Instructor For The Blind (Entry),3333,2,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Rehabilitation Instructor For The Blind (Entry),3333,3,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Rehabilitation Instructor For The Blind (Entry),3333,4,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Rehabilitation Instructor For The Blind (Entry),3333,5,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Rehabilitation Instructor For The Blind (Entry),3333,6,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Rehabilitation Instructor For The Blind (Entry),3333,7,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Rehabilitation Instructor For The Blind (Entry),3333,8,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Rehabilitation Instructor For The Blind (Entry),3333,9,5503,6538,1035,18.81%,"$15,073 ","$66,036 ","$78,456 ","$12,420 "
Rehabilitation Instructor For The Blind (Entry),3333,10,5771,6548,777,13.46%,"$15,734 ","$69,252 ","$78,576 ","$9,324 "
Rehabilitation Therapist,6531,1,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Rehabilitation Therapist,6531,2,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Rehabilitation Therapist,6531,3,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Rehabilitation Therapist,6531,4,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Rehabilitation Therapist,6531,5,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Rehabilitation Therapist,6531,6,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Rehabilitation Therapist,6531,7,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Rehabilitation Therapist,6531,8,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Rehabilitation Therapist,6531,9,6350,7544,1194,18.80%,"$17,162 ","$76,200 ","$90,528 ","$14,328 "
Rehabilitation Therapist,6531,10,6664,7562,898,13.48%,"$17,936 ","$79,968 ","$90,744 ","$10,776 "
Research Analyst 1,1115,1,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Research Analyst 1,1115,2,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Research Analyst 1,1115,3,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Research Analyst 1,1115,4,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Research Analyst 1,1115,5,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Research Analyst 1,1115,6,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Research Analyst 1,1115,7,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Research Analyst 1,1115,8,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Research Analyst 1,1115,9,5019,5963,944,18.81%,"$13,879 ","$60,228 ","$71,556 ","$11,328 "
Research Analyst 1,1115,10,5256,5964,708,13.47%,"$14,464 ","$63,072 ","$71,568 ","$8,496 "
Research Analyst 2,1116,1,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Research Analyst 2,1116,2,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Research Analyst 2,1116,3,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Research Analyst 2,1116,4,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Research Analyst 2,1116,5,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Research Analyst 2,1116,6,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Research Analyst 2,1116,7,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Research Analyst 2,1116,8,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Research Analyst 2,1116,9,6051,7189,1138,18.81%,"$16,424 ","$72,612 ","$86,268 ","$13,656 "
Research Analyst 2,1116,10,6350,7205,855,13.46%,"$17,162 ","$76,200 ","$86,460 ","$10,260 "
Research Analyst 3,1117,1,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Research Analyst 3,1117,2,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Research Analyst 3,1117,3,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Research Analyst 3,1117,4,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Research Analyst 3,1117,5,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Research Analyst 3,1117,6,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Research Analyst 3,1117,7,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Research Analyst 3,1117,8,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Research Analyst 3,1117,9,6982,8295,1313,18.81%,"$18,721 ","$83,784 ","$99,540 ","$15,756 "
Research Analyst 3,1117,10,7327,8314,987,13.47%,"$19,571 ","$87,924 ","$99,768 ","$11,844 "
Research Analyst 4,1118,1,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Research Analyst 4,1118,2,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Research Analyst 4,1118,3,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Research Analyst 4,1118,4,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Research Analyst 4,1118,5,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Research Analyst 4,1118,6,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Research Analyst 4,1118,7,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Research Analyst 4,1118,8,8057,10022,1965,24.39%,"$21,372 ","$96,684 ","$120,264 ","$23,580 "
Research Analyst 4,1118,9,8450,10039,1589,18.80%,"$22,341 ","$101,400 ","$120,468 ","$19,068 "
Research Analyst 4,1118,10,8870,10065,1195,13.47%,"$23,377 ","$106,440 ","$120,780 ","$14,340 "
Retirement Counselor 1,841,1,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Retirement Counselor 1,841,2,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Retirement Counselor 1,841,3,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Retirement Counselor 1,841,4,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Retirement Counselor 1,841,5,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Retirement Counselor 1,841,6,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Retirement Counselor 1,841,7,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Retirement Counselor 1,841,8,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Retirement Counselor 1,841,9,5256,6244,988,18.80%,"$14,464 ","$63,072 ","$74,928 ","$11,856 "
Retirement Counselor 1,841,10,5503,6244,741,13.47%,"$15,073 ","$66,036 ","$74,928 ","$8,892 "
Retirement Counselor 2,843,1,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Retirement Counselor 2,843,2,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Retirement Counselor 2,843,3,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Retirement Counselor 2,843,4,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Retirement Counselor 2,843,5,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Retirement Counselor 2,843,6,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Retirement Counselor 2,843,7,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Retirement Counselor 2,843,8,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Retirement Counselor 2,843,9,5771,6856,1085,18.80%,"$15,734 ","$69,252 ","$82,272 ","$13,020 "
Retirement Counselor 2,843,10,6051,6866,815,13.47%,"$16,424 ","$72,612 ","$82,392 ","$9,780 "
Revenue Agent 1,5110,1,3218,4002,784,24.36%,"$9,437 ","$38,616 ","$48,024 ","$9,408 "
Revenue Agent 1,5110,1,3218,4002,784,24.36%,"$9,437 ","$38,616 ","$48,024 ","$9,408 "
Revenue Agent 1,5110,2,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Revenue Agent 1,5110,2,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Revenue Agent 1,5110,3,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Revenue Agent 1,5110,3,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Revenue Agent 1,5110,4,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Revenue Agent 1,5110,4,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Revenue Agent 1,5110,5,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Revenue Agent 1,5110,5,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Revenue Agent 1,5110,6,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Revenue Agent 1,5110,6,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Revenue Agent 1,5110,7,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Revenue Agent 1,5110,7,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Revenue Agent 1,5110,8,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Revenue Agent 1,5110,8,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Revenue Agent 1,5110,9,4555,5411,856,18.79%,"$12,735 ","$54,660 ","$64,932 ","$10,272 "
Revenue Agent 1,5110,9,4555,5411,856,18.79%,"$12,735 ","$54,660 ","$64,932 ","$10,272 "
Revenue Agent 1,5110,10,4776,5419,643,13.46%,"$13,280 ","$57,312 ","$65,028 ","$7,716 "
Revenue Agent 1,5110,10,4776,5419,643,13.46%,"$13,280 ","$57,312 ","$65,028 ","$7,716 "
Revenue Agent 2,5111,1,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Revenue Agent 2,5111,2,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Revenue Agent 2,5111,3,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Revenue Agent 2,5111,4,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Revenue Agent 2,5111,5,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Revenue Agent 2,5111,6,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Revenue Agent 2,5111,7,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Revenue Agent 2,5111,8,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Revenue Agent 2,5111,9,5019,5963,944,18.81%,"$13,879 ","$60,228 ","$71,556 ","$11,328 "
Revenue Agent 2,5111,10,5256,5964,708,13.47%,"$14,464 ","$63,072 ","$71,568 ","$8,496 "
Revenue Agent 3,5113,1,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Revenue Agent 3,5113,2,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Revenue Agent 3,5113,3,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Revenue Agent 3,5113,4,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Revenue Agent 3,5113,5,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Revenue Agent 3,5113,6,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Revenue Agent 3,5113,7,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Revenue Agent 3,5113,8,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Revenue Agent 3,5113,9,5503,6538,1035,18.81%,"$15,073 ","$66,036 ","$78,456 ","$12,420 "
Revenue Agent 3,5113,10,5771,6548,777,13.46%,"$15,734 ","$69,252 ","$78,576 ","$9,324 "
Safety Specialist 1,1345,1,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Safety Specialist 1,1345,2,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Safety Specialist 1,1345,3,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Safety Specialist 1,1345,4,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Safety Specialist 1,1345,5,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Safety Specialist 1,1345,6,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Safety Specialist 1,1345,7,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Safety Specialist 1,1345,8,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Safety Specialist 1,1345,9,6051,7189,1138,18.81%,"$16,424 ","$72,612 ","$86,268 ","$13,656 "
Safety Specialist 1,1345,10,6350,7205,855,13.46%,"$17,162 ","$76,200 ","$86,460 ","$10,260 "
Safety Specialist 2,1346,1,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Safety Specialist 2,1346,2,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Safety Specialist 2,1346,3,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Safety Specialist 2,1346,4,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Safety Specialist 2,1346,5,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Safety Specialist 2,1346,6,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Safety Specialist 2,1346,7,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Safety Specialist 2,1346,8,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Safety Specialist 2,1346,9,7327,8705,1378,18.81%,"$19,571 ","$87,924 ","$104,460 ","$16,536 "
Safety Specialist 2,1346,10,7678,8712,1034,13.47%,"$20,437 ","$92,136 ","$104,544 ","$12,408 "
Scientific Instrument Technician,4339,1,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Scientific Instrument Technician,4339,2,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Scientific Instrument Technician,4339,3,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Scientific Instrument Technician,4339,4,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Scientific Instrument Technician,4339,5,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Scientific Instrument Technician,4339,6,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Scientific Instrument Technician,4339,7,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
